filename,width,height,class,xmin,ymin,xmax,ymax
16.jpg,800,600,sidewalk,272,222,635,588
16.jpg,800,600,jacket,398,215,457,287
16.jpg,800,600,window,94,22,214,63
16.jpg,800,600,people,298,198,547,381
16.jpg,800,600,people,297,172,565,390
16.jpg,800,600,jacket,344,242,436,330
16.jpg,800,600,hair,409,190,440,207
16.jpg,800,600,pole,193,116,226,531
16.jpg,800,600,car,81,194,242,361
16.jpg,800,600,line,15,230,140,294
16.jpg,800,600,light,49,68,107,113
16.jpg,800,600,fence,315,197,382,229
16.jpg,800,600,tree,49,118,112,226
17.jpg,800,640,wall,172,113,289,246
17.jpg,800,640,chair,0,443,103,621
17.jpg,800,640,floor,5,419,797,635
17.jpg,800,640,wall,10,10,799,475
17.jpg,800,640,chair,195,331,369,566
17.jpg,800,640,chair,200,331,357,563
17.jpg,800,640,chair,3,443,78,578
17.jpg,800,640,door,670,287,706,516
17.jpg,800,640,chair,2,435,92,627
18.jpg,800,600,hair,690,268,738,330
18.jpg,800,600,man,641,267,787,563
18.jpg,800,600,table,3,328,565,470
18.jpg,800,600,window,5,7,307,344
18.jpg,800,600,floor,180,481,657,599
18.jpg,800,600,shirt,622,350,798,522
18.jpg,800,600,wall,320,7,741,333
18.jpg,800,600,chair,594,392,763,581
19.jpg,800,600,wall,64,2,789,380
19.jpg,800,600,chair,33,523,293,598
19.jpg,800,600,wall,1,408,798,511
20.jpg,800,600,door,606,110,798,125
20.jpg,800,600,wall,11,7,130,75
20.jpg,800,600,wall,541,6,617,342
20.jpg,800,600,hair,142,231,221,309
20.jpg,800,600,man,73,231,304,571
20.jpg,800,600,shirt,88,332,284,476
20.jpg,800,600,chair,61,385,323,599
20.jpg,800,600,table,275,386,510,423
20.jpg,800,600,window,339,5,520,314
21.jpg,256,256,person,112,102,178,223
21.jpg,256,256,woman,87,6,177,153
21.jpg,256,256,floor,161,5,255,65
21.jpg,256,256,hair,99,12,161,52
21.jpg,256,256,woman,63,9,192,209
21.jpg,256,256,people,53,19,197,173
21.jpg,256,256,shirt,77,51,189,134
21.jpg,256,256,hand,109,196,160,231
21.jpg,256,256,person,1,5,194,244
21.jpg,256,256,hair,128,94,174,140
22.jpg,800,600,car,563,316,645,362
22.jpg,800,600,street,41,330,799,415
22.jpg,800,600,car,500,324,560,360
22.jpg,800,600,car,440,326,505,356
22.jpg,800,600,car,402,321,443,358
22.jpg,800,600,train,57,251,412,391
22.jpg,800,600,grass,0,345,799,516
22.jpg,800,600,building,457,1,638,332
22.jpg,800,600,building,652,1,799,308
22.jpg,800,600,shadow,1,383,85,416
22.jpg,800,600,road,2,375,799,599
22.jpg,800,600,shadow,13,402,174,453
22.jpg,800,600,pole,550,3,583,468
22.jpg,800,600,window,599,55,624,83
22.jpg,800,600,sky,0,3,288,221
22.jpg,800,600,door,277,288,305,383
22.jpg,800,600,door,205,289,230,378
22.jpg,800,600,door,171,292,193,377
22.jpg,800,600,door,106,292,125,368
22.jpg,800,600,door,82,295,104,366
22.jpg,800,600,pole,60,233,160,279
23.jpg,800,600,car,22,199,589,432
23.jpg,800,600,person,194,214,250,447
23.jpg,800,600,car,544,243,799,394
23.jpg,800,600,shadow,1,384,799,484
23.jpg,800,600,ground,2,364,796,599
23.jpg,800,600,man,606,260,674,297
23.jpg,800,600,tree,581,0,799,245
23.jpg,800,600,tree,314,0,593,197
23.jpg,800,600,sign,197,6,252,123
23.jpg,800,600,sign,350,63,409,127
23.jpg,800,600,sign,577,103,615,163
23.jpg,800,600,sign,122,143,163,192
23.jpg,800,600,person,2,202,52,404
23.jpg,800,600,building,4,0,323,398
23.jpg,800,600,building,320,0,798,308
23.jpg,800,600,shirt,197,250,248,331
23.jpg,800,600,shirt,1,228,51,314
23.jpg,800,600,shirt,188,255,212,327
23.jpg,800,600,door,0,168,114,308
23.jpg,800,600,wheel,705,326,764,393
24.jpg,800,600,man,36,280,79,351
24.jpg,800,600,road,166,308,517,599
24.jpg,800,600,car,455,261,681,417
24.jpg,800,600,trees,268,9,644,436
24.jpg,800,600,man,419,226,457,334
24.jpg,800,600,sign,297,191,330,214
24.jpg,800,600,building,5,24,138,344
24.jpg,800,600,boy,15,271,91,358
24.jpg,800,600,street,116,231,548,506
24.jpg,800,600,pole,457,152,484,310
25.jpg,800,600,woman,187,284,249,460
25.jpg,800,600,chair,545,348,595,408
25.jpg,800,600,chair,707,357,761,403
25.jpg,800,600,chair,656,361,700,406
25.jpg,800,600,chair,494,359,541,404
25.jpg,800,600,chair,453,352,487,394
25.jpg,800,600,person,607,320,660,390
25.jpg,800,600,chair,608,350,652,391
25.jpg,800,600,window,410,96,458,157
25.jpg,800,600,man,139,279,188,432
25.jpg,800,600,door,378,274,428,361
25.jpg,800,600,table,646,339,684,405
25.jpg,800,600,table,685,348,727,403
25.jpg,800,600,table,522,347,562,405
25.jpg,800,600,table,498,341,537,400
25.jpg,800,600,car,736,304,800,369
25.jpg,800,600,sidewalk,644,337,800,393
25.jpg,800,600,car,673,299,746,358
25.jpg,800,600,car,642,288,681,346
25.jpg,800,600,shadow,123,444,232,465
25.jpg,800,600,ground,14,351,798,598
25.jpg,800,600,woman,269,289,323,452
25.jpg,800,600,pole,682,17,761,370
25.jpg,800,600,sky,639,7,697,137
25.jpg,800,600,building,0,0,681,423
25.jpg,800,600,people,52,263,367,502
26.jpg,800,600,man,393,375,436,521
26.jpg,800,600,sidewalk,53,389,799,599
26.jpg,800,600,car,75,399,192,474
26.jpg,800,600,sky,52,3,799,352
26.jpg,800,600,sign,675,89,753,277
26.jpg,800,600,car,1,402,87,465
26.jpg,800,600,building,124,11,229,399
26.jpg,800,600,building,416,137,520,392
26.jpg,800,600,building,513,100,673,363
26.jpg,800,600,building,35,142,180,392
26.jpg,800,600,building,661,99,799,348
26.jpg,800,600,window,49,154,76,168
26.jpg,800,600,window,45,182,89,203
26.jpg,800,600,window,111,167,143,186
26.jpg,800,600,window,146,243,176,261
26.jpg,800,600,window,148,279,177,304
26.jpg,800,600,window,580,118,597,158
26.jpg,800,600,window,551,136,571,162
26.jpg,800,600,window,582,164,605,191
26.jpg,800,600,window,512,208,532,231
26.jpg,800,600,window,512,282,532,305
26.jpg,800,600,tree,3,236,74,409
26.jpg,800,600,tree,78,299,130,417
26.jpg,800,600,tree,130,322,188,401
26.jpg,800,600,tree,170,323,215,393
26.jpg,800,600,grass,357,399,604,456
26.jpg,800,600,hair,407,375,427,398
26.jpg,800,600,street,251,391,625,590
26.jpg,800,600,building,409,139,499,232
26.jpg,800,600,sign,426,129,469,154
26.jpg,800,600,man,619,356,661,521
26.jpg,800,600,building,231,210,286,354
26.jpg,800,600,trees,14,235,207,400
26.jpg,800,600,people,280,389,729,502
27.jpg,800,600,wall,117,2,799,468
27.jpg,800,600,chair,270,306,389,564
27.jpg,800,600,chair,363,289,413,332
27.jpg,800,600,chair,567,302,630,492
27.jpg,800,600,chair,395,327,574,586
27.jpg,800,600,table,183,303,626,597
27.jpg,800,600,door,4,1,180,598
27.jpg,800,600,shadow,186,434,637,588
27.jpg,800,600,wall,120,4,342,467
27.jpg,800,600,wall,327,1,800,439
28.jpg,800,600,wall,3,1,793,462
28.jpg,800,600,table,83,456,536,600
28.jpg,800,600,floor,157,532,797,597
29.jpg,800,600,woman,308,162,375,416
29.jpg,800,600,water,96,178,799,302
29.jpg,800,600,woman,667,214,732,389
29.jpg,800,600,building,2,187,299,284
29.jpg,800,600,hand,360,273,371,284
29.jpg,800,600,sky,0,1,800,202
29.jpg,800,600,clouds,494,8,799,104
29.jpg,800,600,boat,469,273,678,387
29.jpg,800,600,grass,1,264,800,420
29.jpg,800,600,grass,273,468,647,548
29.jpg,800,600,pole,90,33,146,309
29.jpg,800,600,water,460,210,491,227
29.jpg,800,600,people,303,159,715,411
29.jpg,800,600,hair,323,174,344,194
29.jpg,800,600,shadow,238,385,316,414
30.jpg,800,600,floor,13,488,474,592
30.jpg,800,600,chair,205,310,313,444
30.jpg,800,600,chair,332,300,392,431
30.jpg,800,600,light,334,50,397,87
30.jpg,800,600,table,256,309,407,445
30.jpg,800,600,sign,708,100,768,127
30.jpg,800,600,wall,423,5,783,599
30.jpg,800,600,window,3,107,107,485
30.jpg,800,600,window,318,97,457,409
31.jpg,800,600,wall,442,410,680,477
31.jpg,800,600,shadow,232,295,364,385
31.jpg,800,600,wall,674,280,799,461
32.jpg,800,600,door,254,0,423,315
32.jpg,800,600,wall,38,315,760,432
32.jpg,800,600,wall,5,4,762,429
32.jpg,800,600,plate,368,266,416,299
33.jpg,800,600,wall,287,9,534,283
33.jpg,800,600,table,12,373,368,570
33.jpg,800,600,floor,77,501,417,569
33.jpg,800,600,table,13,382,392,558
33.jpg,800,600,floor,404,430,642,592
33.jpg,800,600,floor,495,438,572,499
33.jpg,800,600,window,92,30,291,273
33.jpg,800,600,wall,367,20,484,66
33.jpg,800,600,table,116,439,230,496
33.jpg,800,600,plate,233,407,267,425
33.jpg,800,600,door,593,185,632,307
33.jpg,800,600,trees,600,201,633,251
33.jpg,800,600,window,181,49,294,120
34.jpg,800,600,chair,231,233,458,588
34.jpg,800,600,table,2,331,172,581
34.jpg,800,600,wheel,68,550,98,582
34.jpg,800,600,wheel,143,472,168,495
34.jpg,800,600,table,146,142,529,426
34.jpg,800,600,wall,710,3,799,282
34.jpg,800,600,shadow,125,472,272,569
34.jpg,800,600,floor,7,323,799,594
34.jpg,800,600,shadow,449,486,797,578
34.jpg,800,600,shadow,154,336,336,450
34.jpg,800,600,shadow,448,369,668,472
34.jpg,800,600,shadow,215,559,381,599
34.jpg,800,600,table,529,238,797,590
34.jpg,800,600,table,522,206,798,354
34.jpg,800,600,wall,409,8,718,230
35.jpg,800,600,chair,170,232,784,585
35.jpg,800,600,light,480,129,685,273
35.jpg,800,600,floor,1,382,799,594
35.jpg,800,600,floor,36,433,280,597
35.jpg,800,600,wall,463,172,798,429
35.jpg,800,600,chair,535,283,776,582
35.jpg,800,600,chair,173,234,312,429
35.jpg,800,600,wall,347,2,458,422
35.jpg,800,600,table,191,268,752,582
35.jpg,800,600,wall,43,2,464,425
36.jpg,800,600,table,39,329,650,472
36.jpg,800,600,window,294,85,386,250
36.jpg,800,600,light,300,90,516,287
36.jpg,800,600,floor,0,396,799,593
37.jpg,800,600,table,7,399,100,498
37.jpg,800,600,table,352,401,799,532
37.jpg,800,600,plate,593,400,682,421
37.jpg,800,600,leaves,661,3,797,139
37.jpg,800,600,leaves,14,280,62,328
37.jpg,800,600,floor,1,544,796,597
37.jpg,800,600,leg,758,448,785,496
37.jpg,800,600,chair,0,192,278,598
37.jpg,800,600,wall,146,1,799,279
37.jpg,800,600,floor,7,445,799,600
37.jpg,800,600,door,0,1,95,304
37.jpg,800,600,plate,281,46,341,113
37.jpg,800,600,leg,236,521,263,579
38.jpg,782,800,table,146,357,388,669
38.jpg,782,800,wall,88,0,777,670
38.jpg,782,800,chair,113,556,678,799
38.jpg,782,800,table,245,581,512,798
38.jpg,782,800,shadow,0,611,89,776
38.jpg,782,800,wall,534,678,611,741
38.jpg,782,800,shadow,0,658,780,799
38.jpg,782,800,ground,75,676,190,796
38.jpg,782,800,ground,70,758,135,790
38.jpg,782,800,tree,39,651,91,694
38.jpg,782,800,floor,76,704,133,776
39.jpg,800,534,table,474,247,696,433
39.jpg,800,534,floor,212,345,800,534
39.jpg,800,534,chair,360,39,461,190
39.jpg,800,534,wall,5,5,798,347
39.jpg,800,534,chair,21,248,238,533
39.jpg,800,534,table,535,58,650,191
39.jpg,800,534,table,168,58,283,195
39.jpg,800,534,chair,380,255,550,473
39.jpg,800,534,chair,426,225,570,430
39.jpg,800,534,chair,593,224,708,403
39.jpg,800,534,chair,613,239,756,448
40.jpg,560,800,table,181,686,557,799
40.jpg,560,800,table,122,340,559,759
40.jpg,560,800,chair,0,292,210,785
40.jpg,560,800,person,385,300,403,346
40.jpg,560,800,person,368,297,391,351
40.jpg,560,800,floor,193,696,554,787
40.jpg,560,800,window,398,2,559,564
41.jpg,800,600,wall,1,156,728,449
42.jpg,800,600,building,24,75,54,124
42.jpg,800,600,chair,39,385,133,437
42.jpg,800,600,window,1,5,160,186
42.jpg,800,600,table,219,292,361,444
42.jpg,800,600,chair,51,404,303,599
42.jpg,800,600,wall,192,7,793,294
42.jpg,800,600,floor,66,263,794,593
42.jpg,800,600,building,17,73,53,129
42.jpg,800,600,table,3,380,151,595
42.jpg,800,600,chair,6,200,190,447
42.jpg,800,600,window,2,1,162,172
42.jpg,800,600,table,4,389,159,598
42.jpg,800,600,chair,404,198,485,304
42.jpg,800,600,chair,229,203,314,308
43.jpg,800,600,plate,521,518,724,595
43.jpg,800,600,table,178,366,794,597
43.jpg,800,600,wall,569,70,799,391
43.jpg,800,600,plate,529,526,708,589
43.jpg,800,600,people,296,248,412,361
44.jpg,800,600,chair,153,439,439,599
44.jpg,800,600,floor,4,235,798,599
44.jpg,800,600,table,245,261,798,393
44.jpg,800,600,chair,1,34,410,226
44.jpg,800,600,chair,253,216,317,285
44.jpg,800,600,wall,427,3,798,353
44.jpg,800,600,table,95,40,272,197
44.jpg,800,600,table,458,401,631,540
44.jpg,800,600,chair,459,316,647,530
44.jpg,800,600,light,2,9,100,35
44.jpg,800,600,light,117,12,233,35
44.jpg,800,600,light,242,14,343,40
44.jpg,800,600,light,350,19,443,44
44.jpg,800,600,table,100,218,552,280
44.jpg,800,600,chair,257,219,318,271
44.jpg,800,600,table,136,250,460,295
44.jpg,800,600,chair,210,280,367,450
44.jpg,800,600,wall,0,202,466,320
44.jpg,800,600,chair,342,261,458,389
44.jpg,800,600,table,454,235,681,274
45.jpg,800,600,building,501,1,795,280
45.jpg,800,600,man,6,226,34,323
45.jpg,800,600,sidewalk,5,273,311,340
45.jpg,800,600,building,3,2,284,317
45.jpg,800,600,line,255,326,418,600
45.jpg,800,600,sky,307,3,410,258
45.jpg,800,600,light,587,232,595,247
45.jpg,800,600,light,663,212,672,225
45.jpg,800,600,light,695,214,703,226
45.jpg,800,600,street,311,247,582,331
45.jpg,800,600,car,422,259,474,300
45.jpg,800,600,car,379,250,413,284
46.jpg,800,600,road,256,449,715,597
46.jpg,800,600,line,240,471,389,508
46.jpg,800,600,line,285,530,487,579
46.jpg,800,600,car,0,362,189,501
46.jpg,800,600,car,92,353,323,462
46.jpg,800,600,car,535,338,773,468
46.jpg,800,600,car,311,354,537,460
46.jpg,800,600,street,157,430,773,594
46.jpg,800,600,building,716,4,775,357
46.jpg,800,600,building,61,8,760,349
46.jpg,800,600,street,145,459,585,592
46.jpg,800,600,window,359,130,702,249
46.jpg,800,600,window,554,356,622,388
46.jpg,800,600,car,98,373,341,476
46.jpg,800,600,car,317,359,556,465
46.jpg,800,600,car,516,339,796,468
46.jpg,800,600,window,356,279,705,400
46.jpg,800,600,person,190,341,209,381
46.jpg,800,600,road,4,441,796,598
46.jpg,800,600,line,0,528,791,577
46.jpg,800,600,building,0,2,748,446
46.jpg,800,600,man,773,350,798,379
47.jpg,800,600,person,555,278,626,425
47.jpg,800,600,street,106,345,773,582
47.jpg,800,600,sign,46,223,169,258
47.jpg,800,600,building,18,9,279,271
47.jpg,800,600,sidewalk,747,320,797,340
47.jpg,800,600,sidewalk,80,426,404,556
47.jpg,800,600,sign,549,263,579,285
47.jpg,800,600,man,565,303,622,411
47.jpg,800,600,road,88,348,783,420
47.jpg,800,600,trees,684,214,791,313
47.jpg,800,600,sign,36,215,184,263
47.jpg,800,600,car,626,289,752,357
47.jpg,800,600,clock,637,210,719,279
48.jpg,800,600,shirt,614,389,650,430
48.jpg,800,600,man,613,378,651,470
48.jpg,800,600,man,531,371,578,481
48.jpg,800,600,man,657,378,691,480
48.jpg,800,600,sign,537,314,584,332
48.jpg,800,600,car,132,357,227,398
48.jpg,800,600,man,718,378,776,495
48.jpg,800,600,sign,566,281,620,303
48.jpg,800,600,leaves,14,4,370,276
48.jpg,800,600,leaves,407,153,622,348
48.jpg,800,600,tree,16,2,338,451
48.jpg,800,600,tree,389,168,620,421
48.jpg,800,600,building,181,16,472,208
48.jpg,800,600,pole,280,183,373,439
48.jpg,800,600,people,480,287,731,485
48.jpg,800,600,trees,136,69,410,441
48.jpg,800,600,street,136,204,652,505
49.jpg,600,800,shirt,109,595,151,674
49.jpg,600,800,woman,85,555,168,799
49.jpg,600,800,jacket,278,576,357,657
49.jpg,600,800,man,282,555,355,766
49.jpg,600,800,light,283,538,302,555
49.jpg,600,800,light,239,342,256,359
49.jpg,600,800,car,0,549,46,581
49.jpg,600,800,sign,245,490,291,502
49.jpg,600,800,man,392,568,497,794
49.jpg,600,800,pole,232,326,262,556
49.jpg,600,800,building,415,0,599,798
49.jpg,600,800,street,2,566,598,797
49.jpg,600,800,sky,236,0,390,550
49.jpg,600,800,people,88,511,485,793
50.jpg,800,600,table,56,484,92,523
